Sl.No,Vendor No.,Name of the party,Document No,GST NUMBER,Invoice No,Invoice Date,Description,HSN CODE,Total invoice value,Taxable amount,SGST %,SGST,CGST %,CGST%,IGST %,IGST
11,V0091,KPMG Advisory Services Pvt Ltd,JV/H/21-22/00013,36AABCK2895D1ZJ,KASP-TL/400079,15/04/2021,KPMG Consultancy Charges,998313,"3,402,699.00","2,883,643.00",0.00,0.00,0.00,0.00,18.00,"519,056.00"
12,V0412,"AO CASH, BSNL",JV/H/21-22/00014,37AABCB5576G3ZI,SDCAP0018784801,15/04/2021,Telephone Charges,8517,"15,043.00","12,749.00",9.00,"1,147.00",9.00,"1,147.00",0.00,0.00
13,V0544,PEST BUSTER,JV/H/21-22/00021,37AAFFP1751Q1ZQ,2080,19/04/2021,Rep & Main to buildings,998531,"14,160.00","12,000.00",9.00,"1,080.00",9.00,"1,080.00",0.00,0.00
14,V1146,Omega Agencies,JV/H/21-22/00023,37BCPPB8819Q1ZP,19,20/04/2021,Postage & Courier charges,996812,"39,530.00","33,500.00",9.00,"3,015.00",9.00,"3,015.00",0.00,0.00
15,V1186,REDDY ENTERPRISES,JV/H/21-22/00029,37AKAPM1969N1ZM,REP/APMDC-SILICA SAND/02/21/13,22/04/2021,Silica sand project exp,998515,"354,118.00","300,100.00",9.00,"27,009.00",9.00,"27,009.00",0.00,0.00
16,V1186,REDDY ENTERPRISES,JV/H/21-22/00030,37AKAPM1969N1ZM,REP/APMDC-SILICA SAND/03/21/14,22/04/2021,Silica sand project exp,998515,"306,945.00","260,123.00",9.00,"23,411.00",9.00,"23,411.00",0.00,0.00
17,V0525,SV Enviro Labs & Consultants,JV/H/21-22/00032,37ABTFS0415M1ZO,SV/M/1307,22/04/2021,Mangampet Branch Advance,998346,"176,410.00","149,500.00",9.00,"13,455.00",9.00,"13,455.00",0.00,0.00
18,V0525,SV Enviro Labs & Consultants,JV/H/21-22/00033,37ABTFS0415M1ZO,SV/M/0002,22/04/2021,Mangampet Branch Advance,998346,"176,410.00","149,500.00",9.00,"13,455.00",9.00,"13,455.00",0.00,0.00
19,V0684,BHARTI AIRTEL LIMITED,JV/H/21-22/00036,37AAACB2894G1ZM,BM21371003691252,22/04/2021,Telephone Charges,8517,"10,720.00","9,084.00",9.00,818.00,9.00,818.00,0.00,0.00
20,V1143,M/S.Akshaya Caterers,JV/H/21-22/00037,37ACDPL4987C1ZG,APMDC LTD/VIJAYAWADA/09,23/04/2021,Employee Welfare Expenses,440051,"458,074.00","388,198.00",9.00,"34,938.00",9.00,"34,938.00",0.00,0.00
21,V1060,Andhrapradesh state FiberNet Limited,JV/H/21-22/00042,37AANCA9069P1ZM,APSFL/IVRS/20-21/925,26/04/2021,Conference & Seminar Expenses,998424,"2,988.00","2,532.00",9.00,228.00,9.00,228.00,0.00,0.00
22,V1060,Andhrapradesh state FiberNet Limited,JV/H/21-22/00043,37AANCA9069P1ZM,IVRS2122040087,26/04/2021,Conference & Seminar Expenses,998424,418.00,354.00,9.00,32.00,9.00,32.00,0.00,0.00
23,V0684,BHARTI AIRTEL LIMITED,JV/H/21-22/00044,37AAACB2894G1ZM,BM22371000040619,26/04/2021,Telephone Charges,8517,"10,717.00","9,083.00",9.00,817.00,9.00,817.00,0.00,0.00
24,V1217,PERFECT SOLUTIONS,JV/H/21-22/00046,36AJQPP9332H1ZN,85,27/04/2021,Data Processing equipment,8471,"98,353.00","83,350.00",0.00,0.00,0.00,0.00,18.00,"15,003.00"
25,V1183,Maharaja sales corporation,JV/H/21-22/00049,37AFUPD2052E2ZK,"2021-22/25,26,28",27/04/2021,Rep & Main to buildings,9405,"1,515.00","1,353.00",6.00,81.00,6.00,81.00,0.00,0.00
26,V1183,Maharaja sales corporation,JV/H/21-22/00049,37AFUPD2052E2ZK,"2021-22/25,26,28",27/04/2021,Rep & Main to buildings,8536,"8,481.00","7,187.00",9.00,647.00,9.00,647.00,0.00,0.00
27,V1183,Maharaja sales corporation,JV/H/21-22/00049,37AFUPD2052E2ZK,"2021-22/25,26,28",27/04/2021,Rep & Main to buildings,9405,"4,941.00","4,411.00",6.00,265.00,6.00,265.00,0.00,0.00
28,V1146,Omega Agencies,JV/H/21-22/00051,37BCPPB8819Q1ZP,24,28/04/2021,Postage & Courier charges,996812,"35,916.00","30,438.00",9.00,"2,739.00",9.00,"2,739.00",0.00,0.00
29,V1186,REDDY ENTERPRISES,JV/H/21-22/00052,37AKAPM1969N1ZM,REP/APMDC/04/21/15,28/04/2021,Remuneration(Outsourcing),998515,"4,700,125.00","3,983,157.00",9.00,"358,484.00",9.00,"358,484.00",0.00,0.00
30,V0583,Satya Computers,JV/H/21-22/00056,37AVYPS9207L1ZF,755,29/04/2021,Data Processing Expenses,8473,"1,888.00","1,600.00",9.00,144.00,9.00,144.00,0.00,0.00
31,V0583,Satya Computers,JV/H/21-22/00056,37AVYPS9207L1ZF,755,29/04/2021,Data Processing Expenses,8473,"1,416.00","1,200.00",9.00,108.00,9.00,108.00,0.00,0.00
32,V0583,Satya Computers,JV/H/21-22/00057,37AVYPS9207L1ZF,754,29/04/2021,Data Processing Expenses,84439959,"8,732.00","7,400.00",9.00,666.00,9.00,666.00,0.00,0.00
33,V0583,Satya Computers,JV/H/21-22/00058,37AVYPS9207L1ZF,753,29/04/2021,Data Processing Expenses,37079090,"5,900.00","5,000.00",9.00,450.00,9.00,450.00,0.00,0.00
34,V0583,Satya Computers,JV/H/21-22/00058,37AVYPS9207L1ZF,753,29/04/2021,Data Processing Expenses,84439959,944.00,800.00,9.00,72.00,9.00,72.00,0.00,0.00
35,V1136,The Krishna Dist Co-Operative Marketing Society Lt,JV/H/21-22/00059,37AAABT2461L1Z8,2021-2866,29/04/2021,Printing & Stationary,40169200,"1,201.00","1,143.00",2.50,29.00,2.50,29.00,0.00,0.00
36,V1136,The Krishna Dist Co-Operative Marketing Society Lt,JV/H/21-22/00059,37AAABT2461L1Z8,2021-2866,29/04/2021,Printing & Stationary,4802,"248,999.00","222,321.00",6.00,"13,339.00",6.00,"13,339.00",0.00,0.00
37,V1136,The Krishna Dist Co-Operative Marketing Society Lt,JV/H/21-22/00059,37AAABT2461L1Z8,2021-2866,29/04/2021,Printing & Stationary,4820,"118,029.00","100,025.00",9.00,"9,002.00",9.00,"9,002.00",0.00,0.00
38,V1221,Seetha Granites,JV/H/21-22/00062,37AREPP0630Q2ZE,SG/ST/01/20-21 TO 09,30/04/2021,Purchase of Survey Stones,9015,"1,258,263.00","1,066,325.00",9.00,"95,969.00",9.00,"95,969.00",0.00,0.00
39,V1222,V.S.EXIMAST,JV/H/21-22/00063,36AABFV3222A1ZT,"VSE/D/97011/2020-2021,12,01",03/05/2021,Purchase of Survey Stones,9015,"871,041.00","738,170.00",0.00,0.00,0.00,0.00,18.00,"132,871.00"
40,V1220,SRI SAMARTH SAI GRANITES,JV/H/21-22/00064,37AMMPG6476A1ZZ,149 TO 157,03/05/2021,Purchase of Survey Stones,9015,"1,763,356.00","1,494,370.00",9.00,"134,493.00",9.00,"134,493.00",0.00,0.00
41,V0091,KPMG Advisory Services Pvt Ltd,JV/H/21-22/00067,36AABCK2895D1ZJ,KASP-TL/500002,04/05/2021,KPMG Consultancy Charges,998311,"3,402,699.00","2,883,643.00",0.00,0.00,0.00,0.00,18.00,"519,056.00"
42,V0551,JASTI KISHORE (AP),JV/H/21-22/00069,37AAYPJ9251E2Z5,46,04/05/2021,Office rent,997212,"990,347.00","839,277.00",9.00,"75,535.00",9.00,"75,535.00",0.00,0.00
43,V1133,M/S.Mridula Enterprises,JV/H/21-22/00102,37AARFM3727H2ZV,31/2021,07/05/2021,Chairman&Peshi exp,99853,"36,108.00","30,600.00",9.00,"2,754.00",9.00,"2,754.00",0.00,0.00
44,V1179,Santosh agencies,JV/H/21-22/00107,37ABXFS7523A1ZU,6,07/05/2021,Remuneration(Outsourcing),11198,"343,805.00","291,361.00",9.00,"26,222.00",9.00,"26,222.00",0.00,0.00
45,V1090,REFAC SALES Corporation,JV/H/21-22/00113,37ACVPN1375L1ZT,536,12/05/2021,Camp Office Expenses,29033919,"5,084.48","4,308.48",9.00,388.00,9.00,388.00,0.00,0.00
46,V0606,VENKAT ANNAPURNA ENTERPRISES,JV/H/21-22/00114,37AHFPK6375E1Z7,REG-30,12/05/2021,Camp Office Expenses,7307,"1,127.00",955.00,9.00,86.00,9.00,86.00,0.00,0.00
47,V1146,Omega Agencies,JV/H/21-22/00119,37BCPPB8819Q1ZP,27,26/05/2021,Postage & Courier charges,996812,"30,311.00","25,687.00",9.00,"2,312.00",9.00,"2,312.00",0.00,0.00
48,V0556,CRISil Risk & Infrastructure Solutions Limited,JV/H/21-22/00120,27AABCC4655M1ZD,20219900644,28/05/2021,Sales Promotional Expenses,9971,"1,292,100.00","1,095,000.00",0.00,0.00,0.00,0.00,18.00,"197,100.00"
49,V1098,M/S.LIFE CARE SURGICALS,JV/H/21-22/00122,37CMXPK9006R1ZV,LCS/2021-22/267,31/05/2021,Welfare Amenities,9018,"4,998.00","4,760.00",2.50,119.00,2.50,119.00,0.00,0.00
50,V1098,M/S.LIFE CARE SURGICALS,JV/H/21-22/00122,37CMXPK9006R1ZV,LCS/2021-22/267,31/05/2021,Welfare Amenities,30049099,"24,210.00","21,616.00",6.00,"1,297.00",6.00,"1,297.00",0.00,0.00
51,V1098,M/S.LIFE CARE SURGICALS,JV/H/21-22/00122,37CMXPK9006R1ZV,LCS/2021-22/267,31/05/2021,Welfare Amenities,30049099,"16,140.00","14,410.00",6.00,865.00,6.00,865.00,0.00,0.00
52,V0091,KPMG Advisory Services Pvt Ltd,JV/H/21-22/00123,36AABCK2895D1ZJ,KASP-TL/500005,31/05/2021,KPMG Consultancy Charges,998313,"3,402,699.00","2,883,643.00",0.00,0.00,0.00,0.00,18.00,"519,056.00"
53,V1229,M/S.KPMG Assurance and Consultancy Services LLP,JV/H/21-22/00124,06AAAFK1415H1ZV,KPMG-HR/500747,31/05/2021,Training & Seminor Expenses,999293,"123,900.00","105,000.00",0.00,0.00,0.00,0.00,18.00,"18,900.00"
54,V1186,REDDY ENTERPRISES,JV/H/21-22/00125,37AKAPM1969N1ZM,REPMHRD21052535,01/06/2021,Remuneration(Outsourcing),998519,"4,278,985.00","3,626,259.00",9.00,"326,363.00",9.00,"326,363.00",0.00,0.00
55,V1186,REDDY ENTERPRISES,JV/H/21-22/00126,37AKAPM1969N1ZM,REPMHRD21052536,01/06/2021,New Year Gift,998519,"367,627.00","311,549.00",9.00,"28,039.00",9.00,"28,039.00",0.00,0.00
56,V0551,JASTI KISHORE (AP),JV/H/21-22/00127,37AAYPJ9251E2Z5,47,01/06/2021,Office rent,997212,"1,039,864.00","881,240.00",9.00,"79,312.00",9.00,"79,312.00",0.00,0.00
57,V1090,REFAC SALES Corporation,JV/H/21-22/00164,37ACVPN1375L1ZT,1108,08/06/2021,Rep & Main to buildings,29037100,"1,799.41","1,525.41",9.00,137.00,9.00,137.00,0.00,0.00
58,V1179,Santosh agencies,JV/H/21-22/00166,37ABXFS7523A1ZU,7,08/06/2021,Remuneration(Outsourcing),998515,"343,808.00","291,362.00",9.00,"26,223.00",9.00,"26,223.00",0.00,0.00
59,V0981,M/S.DLR PROJECTS,JV/H/21-22/00178,36AAMFD9721H1Z6,DLRAPMDC20210501,10/06/2021,Consultancy Charges,998331,"389,400.00","330,000.00",0.00,0.00,0.00,0.00,18.00,"59,400.00"
60,V1133,M/S.Mridula Enterprises,JV/H/21-22/00181,37AARFM3727H2ZV,201/2021,14/06/2021,Chairman&Peshi exp,99853,"36,108.00","30,600.00",9.00,"2,754.00",9.00,"2,754.00",0.00,0.00
61,V0525,SV Enviro Labs & Consultants,JV/H/21-22/00182,37ABTFS0415M1ZO,SV/L/0326,14/06/2021,Heavy Minaral Beach Sand,998346,"856,824.00","726,122.00",9.00,"65,351.00",9.00,"65,351.00",0.00,0.00
62,V0525,SV Enviro Labs & Consultants,JV/H/21-22/00183,37ABTFS0415M1ZO,SV/L/21-22/0050,14/06/2021,Chimakurthy Branch Advance,998346,"88,500.00","75,000.00",9.00,"6,750.00",9.00,"6,750.00",0.00,0.00
63,V0525,SV Enviro Labs & Consultants,JV/H/21-22/00184,37ABTFS0415M1ZO,SV/L/21-22/0049,10/06/2021,Chimakurthy Branch Advance,998346,"88,500.00","75,000.00",9.00,"6,750.00",9.00,"6,750.00",0.00,0.00
64,V0544,PEST BUSTER,JV/H/21-22/00185,37AAFFP1751Q1ZQ,143,14/06/2021,Rep & Main to buildings,998531,"14,160.00","12,000.00",9.00,"1,080.00",9.00,"1,080.00",0.00,0.00
65,V0525,SV Enviro Labs & Consultants,JV/H/21-22/00186,37ABTFS0415M1ZO,SV/L/21-22/0048,14/06/2021,Chimakurthy Branch Advance,998346,"88,500.00","75,000.00",9.00,"6,750.00",9.00,"6,750.00",0.00,0.00
66,V1143,M/S.Akshaya Caterers,JV/H/21-22/00187,37ACDPL4987C1ZG,APMDC LTD/ VIJAYAWADA/09,14/06/2021,Employee Welfare Expenses,440051,"271,885.00","258,939.00",2.50,"6,473.00",2.50,"6,473.00",0.00,0.00
67,V1144,M/S.KhaalminatE TeQniX Pvt Ltd,JV/H/21-22/00188,37AAHCK2494A1ZM,KTPL-010-2021-22,15/06/2021,Data Processing Expenses,8517,"139,899.00","118,559.00",9.00,"10,670.00",9.00,"10,670.00",0.00,0.00
68,V1144,M/S.KhaalminatE TeQniX Pvt Ltd,JV/H/21-22/00188,37AAHCK2494A1ZM,KTPL-010-2021-22,15/06/2021,Data Processing Expenses,8417,"149,900.00","127,034.00",9.00,"11,433.00",9.00,"11,433.00",0.00,0.00
69,V1144,M/S.KhaalminatE TeQniX Pvt Ltd,JV/H/21-22/00188,37AAHCK2494A1ZM,KTPL-010-2021-22,15/06/2021,Data Processing Expenses,85044030,"2,242.00","1,900.00",9.00,171.00,9.00,171.00,0.00,0.00
70,V0544,PEST BUSTER,JV/H/21-22/00189,37AAFFP1751Q1ZQ,229,15/06/2021,Rep & Main to buildings,998531,"14,160.00","12,000.00",9.00,"1,080.00",9.00,"1,080.00",0.00,0.00
71,V1060,Andhrapradesh state FiberNet Limited,JV/H/21-22/00190,37AANCA9069P1ZM,IVRS2122050156,15/06/2021,Conference & Seminar Expenses,998424,"4,174.00","3,538.00",9.00,318.00,9.00,318.00,0.00,0.00
72,V0091,KPMG Advisory Services Pvt Ltd,JV/H/21-22/00192,36AABCK2895D1ZJ,KASP-TL/500012,16/06/2021,KPMG Consultancy Charges,998311,"3,402,699.00","2,883,643.00",0.00,0.00,0.00,0.00,18.00,"519,056.00"
73,V0276,MSTC LIMITED (AP),JV/H/21-22/00195,37AACCM0021E1Z6,2.02021E+12,16/06/2021,Sales Promotional Expenses,996111,"7,126,020.00","6,039,000.00",9.00,"543,510.00",9.00,"543,510.00",0.00,0.00
74,V0412,"AO CASH, BSNL",JV/H/21-22/00202,37AABCB5576G3ZI,SDCAP0019512189,17/06/2021,Telephone Charges,8517,"14,750.00","12,500.00",9.00,"1,125.00",9.00,"1,125.00",0.00,0.00
75,V0810,M/s. Sachdev Overseas Fitness Pvt Limited,JV/H/21-22/00203,36AAPCS8659F1ZN,361/21-22,31/05/2021,Employee Welfare Expenses,998717,"20,803.00","17,630.00",0.00,0.00,0.00,0.00,18.00,"3,173.00"
76,V0981,M/S.DLR PROJECTS,JV/H/21-22/00204,36AAMFD9721H1Z6,DLRPAPMDC20210401,31/05/2021,Consultancy Charges,998331,"389,400.00","330,000.00",0.00,0.00,0.00,0.00,18.00,"59,400.00"
77,V1098,M/S.LIFE CARE SURGICALS,JV/H/21-22/00205,37CMXPK9006R1ZV,LCS/2021-22/201,31/05/2021,Office Expenses,30049099,"24,210.00","21,616.00",6.00,"1,297.00",6.00,"1,297.00",0.00,0.00
78,V0412,"AO CASH, BSNL",JV/H/21-22/00206,37AABCB5576G3ZI,SDCAP0019171154,31/05/2021,Telephone Charges,8517,"14,750.00","12,500.00",9.00,"1,125.00",9.00,"1,125.00",0.00,0.00
79,V1060,Andhrapradesh state FiberNet Limited,JV/H/21-22/00207,37AANCA9069P1ZM,IVRS2122050075,31/05/2021,Conference & Seminar Expenses,998424,"1,792.00","1,518.00",9.00,137.00,9.00,137.00,0.00,0.00
80,V0024,B2B Software Technologies Ltd.,JV/H/21-22/00211,36AAACR9623F1ZD,SP/2020-084,31/05/2021,Consultancy Charges,998313,"79,282.00","67,188.00",0.00,0.00,0.00,0.00,18.00,"12,094.00"
81,V0024,B2B Software Technologies Ltd.,JV/H/21-22/00212,36AAACR9623F1ZD,ASC/2020-035,31/05/2021,Consultancy Charges,998313,"118,000.00","100,000.00",0.00,0.00,0.00,0.00,18.00,"18,000.00"
82,V0967,M/S.Arrow sales corporation,JV/H/21-22/00217,37ACIPP4573F1ZB,ASC/20-21/S503,31/05/2021,Data Processing Expenses,84439959,"3,531.00","2,993.00",9.00,269.00,9.00,269.00,0.00,0.00
83,V0481,Sri Manjunath Technical Services,JV/H/21-22/00218,37AELPR6177A1Z8,QL420274012200170,31/05/2021,R & M to Other Assets,998719,"13,428.00","11,380.00",9.00,"1,024.00",9.00,"1,024.00",0.00,0.00
84,V0893,Express Publications (Madurai) Pvt Ltd,JV/H/21-22/00219,36AAACI0842D1Z3,TL16017364,31/05/2021,Advertisement,440013,"51,610.00","49,152.00",0.00,0.00,0.00,0.00,5.00,"2,458.00"
85,V1227,THG Publishing Private Ltd,JV/H/21-22/00220,37AAGCT1726K1Z4,1814793,31/05/2021,Advertisement,440013,"64,008.00","60,960.00",2.50,"1,524.00",2.50,"1,524.00",0.00,0.00
86,V0200,Ushodaya enterprise PVT LTD.,JV/H/21-22/00221,37AAACU2690P1ZQ,2.02102E+13,31/05/2021,Advertisement,998363,"205,296.00","195,520.00",2.50,"4,888.00",2.50,"4,888.00",0.00,0.00
87,V1186,REDDY ENTERPRISES,JV/H/21-22/00222,37AKAPM1969N1ZM,REP/APMDC-SILICA SAND/04/21/15,31/05/2021,Silica sand project exp,998515,"306,056.00","259,370.00",9.00,"23,343.00",9.00,"23,343.00",0.00,0.00
88,V0895,Jagathi Publications Limited (AP),JV/H/21-22/00224,37AABCJ7667G1Z8,AP7010099067,31/05/2021,Advertisement,9983,"596,182.00","567,792.00",2.50,"14,195.00",2.50,"14,195.00",0.00,0.00
89,V1221,Seetha Granites,JV/H/21-22/00227,37AREPP0630Q2ZE,"SG/ST/33/21-22,SG/ST/34/21-22",21/06/2021,Purchase of Survey Stones,9015,"712,050.00","603,432.00",9.00,"54,309.00",9.00,"54,309.00",0.00,0.00
90,V1221,Seetha Granites,JV/H/21-22/00227,37AREPP0630Q2ZE,"SG/ST/33/21-22,SG/ST/34/21-22",21/06/2021,Purchase of Survey Stones,9015,"732,270.00","620,568.00",9.00,"55,851.00",9.00,"55,851.00",0.00,0.00
91,V1221,Seetha Granites,JV/H/21-22/00228,37AREPP0630Q2ZE,"SG/ST/31/21-22,SG/ST/29/21-22,23/21",21/06/2021,Purchase of Survey Stones,9015,"479,717.00","406,539.00",9.00,"36,589.00",9.00,"36,589.00",0.00,0.00
92,V1221,Seetha Granites,JV/H/21-22/00228,37AREPP0630Q2ZE,"SG/ST/31/21-22,SG/ST/29/21-22,23/21",21/06/2021,Purchase of Survey Stones,9015,"445,775.00","377,775.00",9.00,"34,000.00",9.00,"34,000.00",0.00,0.00
93,V1221,Seetha Granites,JV/H/21-22/00228,37AREPP0630Q2ZE,"SG/ST/31/21-22,SG/ST/29/21-22,23/21",21/06/2021,Purchase of Survey Stones,9015,"244,684.00","207,360.00",9.00,"18,662.00",9.00,"18,662.00",0.00,0.00
94,V1221,Seetha Granites,JV/H/21-22/00228,37AREPP0630Q2ZE,"SG/ST/31/21-22,SG/ST/29/21-22,23/21",21/06/2021,Purchase of Survey Stones,9015,"378,337.00","320,625.00",9.00,"28,856.00",9.00,"28,856.00",0.00,0.00
95,V1221,Seetha Granites,JV/H/21-22/00228,37AREPP0630Q2ZE,"SG/ST/31/21-22,SG/ST/29/21-22,23/21",21/06/2021,Purchase of Survey Stones,9015,"521,059.00","441,575.00",9.00,"39,742.00",9.00,"39,742.00",0.00,0.00
96,V1221,Seetha Granites,JV/H/21-22/00228,37AREPP0630Q2ZE,"SG/ST/31/21-22,SG/ST/29/21-22,23/21",21/06/2021,Purchase of Survey Stones,9015,"630,563.00","534,375.00",9.00,"48,094.00",9.00,"48,094.00",0.00,0.00
97,V1221,Seetha Granites,JV/H/21-22/00228,37AREPP0630Q2ZE,"SG/ST/31/21-22,SG/ST/29/21-22,23/21",21/06/2021,Purchase of Survey Stones,9015,"589,410.00","499,500.00",9.00,"44,955.00",9.00,"44,955.00",0.00,0.00
98,V1221,Seetha Granites,JV/H/21-22/00229,37AREPP0630Q2ZE,"SG/ST/19/21-22,20,30",21/06/2021,Purchase of Survey Stones,9015,"467,422.00","396,120.00",9.00,"35,651.00",9.00,"35,651.00",0.00,0.00
99,V1221,Seetha Granites,JV/H/21-22/00229,37AREPP0630Q2ZE,"SG/ST/19/21-22,20,30",21/06/2021,Purchase of Survey Stones,9015,"461,580.00","391,170.00",9.00,"35,205.00",9.00,"35,205.00",0.00,0.00
100,V1221,Seetha Granites,JV/H/21-22/00229,37AREPP0630Q2ZE,"SG/ST/19/21-22,20,30",21/06/2021,Purchase of Survey Stones,9015,"205,744.00","174,360.00",9.00,"15,692.00",9.00,"15,692.00",0.00,0.00
101,V1221,Seetha Granites,JV/H/21-22/00230,37AREPP0630Q2ZE,"SG/ST/33/21-22,SG/ST/34/21-22,",21/06/2021,Purchase of Survey Stones,9015,"712,050.00","603,432.00",9.00,"54,309.00",9.00,"54,309.00",0.00,0.00
102,V1221,Seetha Granites,JV/H/21-22/00230,37AREPP0630Q2ZE,"SG/ST/33/21-22,SG/ST/34/21-22,",21/06/2021,Purchase of Survey Stones,9015,"732,270.00","620,568.00",9.00,"55,851.00",9.00,"55,851.00",0.00,0.00
103,V1220,SRI SAMARTH SAI GRANITES,JV/H/21-22/00231,37AMMPG6476A1ZZ,1.61158E+11,21/06/2021,Purchase of Survey Stones,9015,"224,590.00","190,330.00",9.00,"17,130.00",9.00,"17,130.00",0.00,0.00
104,V1220,SRI SAMARTH SAI GRANITES,JV/H/21-22/00231,37AMMPG6476A1ZZ,1.61158E+11,21/06/2021,Purchase of Survey Stones,9015,"588,042.00","498,340.00",9.00,"44,851.00",9.00,"44,851.00",0.00,0.00
105,V1220,SRI SAMARTH SAI GRANITES,JV/H/21-22/00231,37AMMPG6476A1ZZ,1.61158E+11,21/06/2021,Purchase of Survey Stones,9015,"582,188.00","493,380.00",9.00,"44,404.00",9.00,"44,404.00",0.00,0.00
106,V1220,SRI SAMARTH SAI GRANITES,JV/H/21-22/00231,37AMMPG6476A1ZZ,1.61158E+11,21/06/2021,Purchase of Survey Stones,9015,"535,248.00","453,600.00",9.00,"40,824.00",9.00,"40,824.00",0.00,0.00
107,V1143,M/S.Akshaya Caterers,JV/H/21-22/00233,37ACDPL4987C1ZG,APMDC LTD/VIJAYAWADA/10,22/06/2021,Employee Welfare Expenses,9963,"391,454.00","372,814.00",2.50,"9,320.00",2.50,"9,320.00",0.00,0.00
108,V1163,M/S.Rama Enterprises,JV/H/21-22/00238,37FLSPM8541N1ZZ,RAM/2021-22/5/1,24/06/2021,Data Processing Expenses,8473,"514,416.00","435,946.00",9.00,"39,235.00",9.00,"39,235.00",0.00,0.00
109,V1163,M/S.Rama Enterprises,JV/H/21-22/00238,37FLSPM8541N1ZZ,RAM/2021-22/5/1,24/06/2021,Data Processing Expenses,32151190,"13,810.00","12,330.00",6.00,740.00,6.00,740.00,0.00,0.00
110,V0729,CARE RATINGS LIMITED,JV/H/21-22/00239,27AAACC4587F1ZM,INV2110568,25/06/2021,Consultancy Charges,998591,"247,800.00","210,000.00",0.00,0.00,0.00,0.00,18.00,"37,800.00"
111,V0729,CARE RATINGS LIMITED,JV/H/21-22/00240,27AAACC4587F1ZM,INV2011491,25/06/2021,Consultancy Charges,998591,"2,478,000.00","2,100,000.00",0.00,0.00,0.00,0.00,18.00,"378,000.00"
112,V0729,CARE RATINGS LIMITED,JV/H/21-22/00241,27AAACC4587F1ZM,INV20111491,25/06/2021,Consultancy Charges,998591,"247,800.00","210,000.00",0.00,0.00,0.00,0.00,18.00,"37,800.00"
113,V1146,Omega Agencies,JV/H/21-22/00243,37BCPPB8819Q1ZP,1,29/06/2021,Postage & Courier charges,996812,"35,680.00","30,238.00",9.00,"2,721.00",9.00,"2,721.00",0.00,0.00
114,V1231,M/s.3I Medical Technologies Pvt Ltd,JV/H/21-22/00244,33AABCZ6388G1Z0,3IM/007/21-22,29/06/2021,Donations,90192010,"10,000,000.00","8,928,571.00",0.00,0.00,0.00,0.00,12.00,"1,071,429.00"
115,V1231,M/s.3I Medical Technologies Pvt Ltd,JV/H/21-22/00246,33AABCZ6388G1Z0,3IM/008/21-22,29/06/2021,Donations,90192010,"20,000,000.00","17,857,143.00",0.00,0.00,0.00,0.00,12.00,"2,142,857.00"
