Section Name,My GSTIN,GSTIN of supplier,Trade/Legal name,Taxpayer Type,2B Return Period,Invoice number,Invoice type,Invoice Date,Invoice Value(?),Place of supply,Supply Attract Reverse Charge,Original Invoice number,Original Invoice Date,Taxable Value (?),Integrated Tax(?),Central Tax(?),State/UT Tax(?),Cess(?),GSTR-1/5 Period,GSTR-1/5 Filing Date,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date
B2B,37AAACT7391N1ZN,37AAACL3798F1Z9,LASER SYSTMS PRIVATE LIMITED,Regular,Mar 2022,'LSLVJA350/21-22',INVOICE,18-Mar-2022,"2,727.00",ANDHRAPRADESH,NO,,,"2,310.80",0.00,207.97,207.97,0.00,Mar 2022,11th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AAACL3798F1Z9,LASER SYSTMS PRIVATE LIMITED,Regular,Mar 2022,'LSLVJA349/21-22',INVOICE,18-Mar-2022,"3,627.00",ANDHRAPRADESH,NO,,,"3,074.00",0.00,276.66,276.66,0.00,Mar 2022,11th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200175',INVOICE,31-Mar-2022,"594,425.00",ANDHRAPRADESH,NO,,,"503,750.00",0.00,"45,337.50","45,337.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,7b9b2969b8d6222c745511e0d23d6f662bb0f78a4f1f22dbf2ab9c4683eeb66c,31-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200174',INVOICE,30-Mar-2022,"467,870.00",ANDHRAPRADESH,NO,,,"396,500.00",0.00,"35,685.00","35,685.00",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,9de25f96623ce7d83fe577378fd0bbcc2c9496ce6ce9713b5d1667ef6a0ff020,31-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200173',INVOICE,29-Mar-2022,"567,580.00",ANDHRAPRADESH,NO,,,"481,000.00",0.00,"43,290.00","43,290.00",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,a0a7d1010d71793a625f53b46de70ef247489fd351cb164e9c8278725422c5a1,29-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200172',INVOICE,26-Mar-2022,"456,365.00",ANDHRAPRADESH,NO,,,"386,750.00",0.00,"34,807.50","34,807.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,b8bf8a30646d26caa8e008a495cd2768ab67a2dface1492c369939d9d6281e58,26-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200171',INVOICE,25-Mar-2022,"210,925.00",ANDHRAPRADESH,NO,,,"178,750.00",0.00,"16,087.50","16,087.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,70ba8abaaca0d7af3f969dcd381d55f46bf2725f3e81263134fc8670b8832e3b,26-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200170',INVOICE,24-Mar-2022,"471,705.00",ANDHRAPRADESH,NO,,,"399,750.00",0.00,"35,977.50","35,977.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,511840d0bbc44620ed17d838bbe088ef9e134ea2b13022b0928908ca4a499693,24-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200169',INVOICE,23-Mar-2022,"226,265.00",ANDHRAPRADESH,NO,,,"191,750.00",0.00,"17,257.50","17,257.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,0e4d9b7da7d0e8ff9251aca6ac42e93fdcb4f4ff5595464646143bfdd1ed755e,24-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200168',INVOICE,22-Mar-2022,"61,360.00",ANDHRAPRADESH,NO,,,"52,000.00",0.00,"4,680.00","4,680.00",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,952c8bc00e58b51a927f41aa258ffd9b6a2c048c38211cdf443d5afccdd5c8ac,22-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200167',INVOICE,21-Mar-2022,"456,365.00",ANDHRAPRADESH,NO,,,"386,750.00",0.00,"34,807.50","34,807.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,993e5cea401dff9fc0bdd095f74d9e7a920c515bf3afec8d74103b4066285b56,21-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200166',INVOICE,19-Mar-2022,"333,645.00",ANDHRAPRADESH,NO,,,"282,750.00",0.00,"25,447.50","25,447.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,9a407f70b8cea7f546a38a0feba41698e3325e9ae166093b1c46571598b847b7,19-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200165',INVOICE,17-Mar-2022,"418,015.00",ANDHRAPRADESH,NO,,,"354,250.00",0.00,"31,882.50","31,882.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,c89ec523e2181f56622716c3e00b1bf577a5b1efeee32ddc4eae31631e22a0af,17-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200164',INVOICE,16-Mar-2022,"552,240.00",ANDHRAPRADESH,NO,,,"468,000.00",0.00,"42,120.00","42,120.00",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,1f8e0fe472eeca2956b86c244eeec6a64ff1af103396a177dcfebb89ac714b1e,16-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200163',INVOICE,15-Mar-2022,"444,860.00",ANDHRAPRADESH,NO,,,"377,000.00",0.00,"33,930.00","33,930.00",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,588533a3f3c396b601a5134a40e06f02e1a634d0c7e467f34e5a3b371bc57351,15-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200162',INVOICE,14-Mar-2022,"402,675.00",ANDHRAPRADESH,NO,,,"341,250.00",0.00,"30,712.50","30,712.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,a331caac5d5c4cf3d526ba852f9caa1f3c968461e4858e98715b3d7a330e94a6,14-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200161',INVOICE,13-Mar-2022,"540,735.00",ANDHRAPRADESH,NO,,,"458,250.00",0.00,"41,242.50","41,242.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,f63d1565b439d400674b49691affbf3491f4027128b0128aa4c746dfb34f8b02,14-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200160',INVOICE,12-Mar-2022,"295,295.00",ANDHRAPRADESH,NO,,,"250,250.00",0.00,"22,522.50","22,522.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,7a9a203553d3121640a43451737b217d1c7bc2e403e46de201904896c430c4b8,12-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200159',INVOICE,11-Mar-2022,"84,370.00",ANDHRAPRADESH,NO,,,"71,500.00",0.00,"6,435.00","6,435.00",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,4698b7143ac6373d69266cd392c001a7f225948b67826d3029b8fddecba2cf29,11-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200158',INVOICE,10-Mar-2022,"571,415.00",ANDHRAPRADESH,NO,,,"484,250.00",0.00,"43,582.50","43,582.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,b691c45db7c3291545b1f438ae5e4cdad0bfb069056b1ee92ed18b63db133290,11-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200157',INVOICE,05-Mar-2022,"145,730.00",ANDHRAPRADESH,NO,,,"123,500.00",0.00,"11,115.00","11,115.00",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,fb542eed58b9418d41f253c0fbd55ccf89511787378bf6e62dc0795cf1bc685f,05-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200156',INVOICE,04-Mar-2022,"567,580.00",ANDHRAPRADESH,NO,,,"481,000.00",0.00,"43,290.00","43,290.00",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,dcf8c7c26eac433533a7705faabe27ac1ff8f90e6b5d7776bcc62f67b2d2eab4,05-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200155',INVOICE,03-Mar-2022,"567,580.00",ANDHRAPRADESH,NO,,,"481,000.00",0.00,"43,290.00","43,290.00",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,9beb9320deb335f8921613bde2634c09545c022afe966cca76d58962d28e494c,03-03-2022
B2B,37AAACT7391N1ZN,37AAACK4702A2Z5,KELTECH ENERGIES LTD,Regular,Mar 2022,'MGT212200154',INVOICE,02-Mar-2022,"563,745.00",ANDHRAPRADESH,NO,,,"477,750.00",0.00,"42,997.50","42,997.50",0.00,Mar 2022,9th Apr 2022,YES,,,E-Invoice,69e614fe4af7a592bc6e51f83f996a12d8ddc776e306ca02877cf4ae2bc5cf96,03-03-2022
B2B,37AAACT7391N1ZN,37AFFPG1545L1ZE,G RAMESH BABU,Regular,Mar 2022,'2',INVOICE,01-Feb-2022,"75,272.20",ANDHRAPRADESH,NO,,,"63,790.00",0.00,"5,741.10","5,741.10",0.00,Feb 2022,4th Apr 2022,YES,,,,,
B2B,37AAACT7391N1ZN,37AAGCA3570N1ZB,ANDHRA PRADESH GRANITE  MIDWEST  PVT LTD,Regular,Mar 2022,'APGM/JW/55/21-22',INVOICE,29-Mar-2022,"307,130.40",ANDHRAPRADESH,NO,,,"260,280.00",0.00,"23,425.20","23,425.20",0.00,Mar 2022,11th Apr 2022,YES,,,E-Invoice,007bad4b0abf3166beee8c300bfdf636f8e7667334c2266f9999d048e39e246f,29-03-2022
B2B,37AAACT7391N1ZN,37AAGCA3570N1ZB,ANDHRA PRADESH GRANITE  MIDWEST  PVT LTD,Regular,Mar 2022,'APGM/JW/54/21-22',INVOICE,26-Mar-2022,"346,955.40",ANDHRAPRADESH,NO,,,"294,030.00",0.00,"26,462.70","26,462.70",0.00,Mar 2022,11th Apr 2022,YES,,,E-Invoice,ef714a56748f4d17ffaa4f684dace7b16887ad2ac2e952feb5bea3186bd453c9,26-03-2022
